# Wavelength, Absorbance
2.200000000000000000e+02,4.360722375273738294e+00
2.210000000000000000e+02,3.153498717933892692e+00
2.220000000000000000e+02,5.363248964635143778e+00
2.230000000000000000e+02,3.957963197263540511e+00
2.240000000000000000e+02,4.340981496474210388e+00
2.250000000000000000e+02,5.519577294077386398e+00
2.260000000000000000e+02,4.878030392955035488e+00
2.270000000000000000e+02,4.396992198708736588e+00
2.280000000000000000e+02,3.663110728889040324e+00
2.290000000000000000e+02,6.446555403500068948e+00
2.300000000000000000e+02,4.694704371606891691e+00
2.310000000000000000e+02,5.687977185271949843e+00
2.320000000000000000e+02,5.802040786887583401e+00
2.330000000000000000e+02,6.356101816864176968e+00
2.340000000000000000e+02,4.276803562362594846e+00
2.350000000000000000e+02,4.956797078313668337e+00
2.360000000000000000e+02,5.821785218317086397e+00
2.370000000000000000e+02,4.357919637713871808e+00
2.380000000000000000e+02,3.203425224651164971e+00
2.390000000000000000e+02,4.315064570666820032e+00
2.400000000000000000e+02,4.171751903508943649e+00
2.410000000000000000e+02,3.104772077585190360e+00
2.420000000000000000e+02,2.749964311491289948e+00
2.430000000000000000e+02,5.147844421287507188e+00
2.440000000000000000e+02,4.111160556074874961e+00
2.450000000000000000e+02,4.774897537128067526e+00
2.460000000000000000e+02,2.895037226962386523e+00
2.470000000000000000e+02,3.299070979189208330e+00
2.480000000000000000e+02,4.585518424135329063e+00
2.490000000000000000e+02,3.814269520602109775e+00
2.500000000000000000e+02,3.377858698846822882e+00
2.510000000000000000e+02,2.010311830946899470e+00
2.520000000000000000e+02,3.989316754098817697e+00
2.530000000000000000e+02,1.960076301192526849e+00
2.540000000000000000e+02,2.605803126587207696e+00
2.550000000000000000e+02,3.083082005917489710e+00
2.560000000000000000e+02,1.699513954575222918e+00
2.570000000000000000e+02,2.766671334731567899e+00
2.580000000000000000e+02,2.264561114007119791e+00
2.590000000000000000e+02,1.953923337672700766e+00
2.600000000000000000e+02,3.923316173453798683e+00
2.610000000000000000e+02,2.643338785631404342e+00
2.620000000000000000e+02,1.975649669124536434e+00
2.630000000000000000e+02,3.630945041933935080e+00
2.640000000000000000e+02,2.321752252678214390e+00
2.650000000000000000e+02,1.688568781215344039e+00
2.660000000000000000e+02,3.501725646073561293e+00
2.670000000000000000e+02,4.656464173770186399e+00
2.680000000000000000e+02,2.459851443565036710e+00
2.690000000000000000e+02,1.982318694738615994e+00
2.700000000000000000e+02,4.048393626075069918e+00
2.710000000000000000e+02,4.186040540632205875e+00
2.720000000000000000e+02,4.444063512725056952e+00
2.730000000000000000e+02,5.017670065553797798e+00
2.740000000000000000e+02,5.009704660898186113e+00
2.750000000000000000e+02,4.728749505123499119e+00
2.760000000000000000e+02,4.083156013911672488e+00
2.770000000000000000e+02,4.227476216183780444e+00
2.780000000000000000e+02,5.481197659693501478e+00
2.790000000000000000e+02,4.233736167339527512e+00
2.800000000000000000e+02,4.548709308229585524e+00
2.810000000000000000e+02,3.211767083226330310e+00
2.820000000000000000e+02,5.037492922663598272e+00
2.830000000000000000e+02,5.786776883295772222e+00
2.840000000000000000e+02,4.204116246336688789e+00
2.850000000000000000e+02,3.928833139778508343e+00
2.860000000000000000e+02,5.838035966965243517e+00
2.870000000000000000e+02,6.105329787497893790e+00
2.880000000000000000e+02,4.363763323145063211e+00
2.890000000000000000e+02,3.556498541552321591e+00
2.900000000000000000e+02,3.912707561221227870e+00
2.910000000000000000e+02,5.218742243189391061e+00
2.920000000000000000e+02,6.018082445519030266e+00
2.930000000000000000e+02,3.149685256594386473e+00
2.940000000000000000e+02,3.251101950824239140e+00
2.950000000000000000e+02,3.958613680923041667e+00
2.960000000000000000e+02,3.671938534178188274e+00
2.970000000000000000e+02,3.362580499018058777e+00
2.980000000000000000e+02,4.887620606969102610e+00
2.990000000000000000e+02,4.386032038468039573e+00
3.000000000000000000e+02,3.849497681759741496e+00
3.010000000000000000e+02,4.863404626667233721e+00
3.020000000000000000e+02,5.956777962132168369e+00
3.030000000000000000e+02,4.663008034155015302e+00
3.040000000000000000e+02,4.202714993799103738e+00
3.050000000000000000e+02,3.360394189900072881e+00
3.060000000000000000e+02,5.515504670553079691e+00
3.070000000000000000e+02,4.742146231598665551e+00
3.080000000000000000e+02,3.899819997818467332e+00
3.090000000000000000e+02,5.342318742556013689e+00
3.100000000000000000e+02,4.444978473924848572e+00
3.110000000000000000e+02,5.708114498584742513e+00
3.120000000000000000e+02,4.313696269224376323e+00
