# Wavelength, Absorbance
2.200000000000000000e+02,4.907244956235540911e+00
2.210000000000000000e+02,3.136922952718743218e+00
2.220000000000000000e+02,3.383080757817854334e+00
2.230000000000000000e+02,3.526533319831473445e+00
2.240000000000000000e+02,2.689308981870688342e+00
2.250000000000000000e+02,3.124210238869129519e+00
2.260000000000000000e+02,5.014855961926606653e+00
2.270000000000000000e+02,4.980448670259825406e+00
2.280000000000000000e+02,3.873479548191133937e+00
2.290000000000000000e+02,4.152159625558526912e+00
2.300000000000000000e+02,6.282318496722723467e+00
2.310000000000000000e+02,5.138266294021258673e+00
2.320000000000000000e+02,4.904693017787207232e+00
2.330000000000000000e+02,6.062903060998481308e+00
2.340000000000000000e+02,3.948428063366148155e+00
2.350000000000000000e+02,5.436491334346121640e+00
2.360000000000000000e+02,5.241985190421571517e+00
2.370000000000000000e+02,3.707709273741220724e+00
2.380000000000000000e+02,4.255375235806608814e+00
2.390000000000000000e+02,4.903731684957771009e+00
2.400000000000000000e+02,5.253685231942167633e+00
2.410000000000000000e+02,3.641291627905702377e+00
2.420000000000000000e+02,4.823664020496195803e+00
2.430000000000000000e+02,4.302373865998559310e+00
2.440000000000000000e+02,3.674654831214376749e+00
2.450000000000000000e+02,4.468127179583921915e+00
2.460000000000000000e+02,4.828966453201382514e+00
2.470000000000000000e+02,3.506703346403033272e+00
2.480000000000000000e+02,3.317936654888960391e+00
2.490000000000000000e+02,3.691178909321375379e+00
2.500000000000000000e+02,1.708445955187654741e+00
2.510000000000000000e+02,2.632997480100983001e+00
2.520000000000000000e+02,3.007315342169304628e+00
2.530000000000000000e+02,3.676598532393176910e+00
2.540000000000000000e+02,3.154421483557928063e+00
2.550000000000000000e+02,4.275369732888638197e+00
2.560000000000000000e+02,2.713734271681000010e+00
2.570000000000000000e+02,1.478834613817806787e+00
2.580000000000000000e+02,3.992107017159201021e+00
2.590000000000000000e+02,2.113923406391745807e+00
2.600000000000000000e+02,2.480512726061836037e+00
2.610000000000000000e+02,1.653583778290578010e+00
2.620000000000000000e+02,1.662019885948183839e+00
2.630000000000000000e+02,3.470296096001420416e+00
2.640000000000000000e+02,4.339223274144868192e+00
2.650000000000000000e+02,3.143584828901172745e+00
2.660000000000000000e+02,3.809662346163803726e+00
2.670000000000000000e+02,2.653882628657729725e+00
2.680000000000000000e+02,3.502166080941176318e+00
2.690000000000000000e+02,3.997296226179030576e+00
2.700000000000000000e+02,4.696560170241605547e+00
2.710000000000000000e+02,4.112445916067539287e+00
2.720000000000000000e+02,4.772990361039198604e+00
2.730000000000000000e+02,3.014162224620428709e+00
2.740000000000000000e+02,3.071002888867822911e+00
2.750000000000000000e+02,5.186147282300803241e+00
2.760000000000000000e+02,4.724558676187771589e+00
2.770000000000000000e+02,3.933889158538203645e+00
2.780000000000000000e+02,3.750731556496832653e+00
2.790000000000000000e+02,4.238211661933328323e+00
2.800000000000000000e+02,4.913969858261413748e+00
2.810000000000000000e+02,4.963266517623464047e+00
2.820000000000000000e+02,5.944577246120601011e+00
2.830000000000000000e+02,5.979266447491388803e+00
2.840000000000000000e+02,4.094625347794308645e+00
2.850000000000000000e+02,3.616587240594589581e+00
2.860000000000000000e+02,5.188086188897112372e+00
2.870000000000000000e+02,4.952731284557049030e+00
2.880000000000000000e+02,6.246314266676487037e+00
2.890000000000000000e+02,4.155117880366394623e+00
2.900000000000000000e+02,4.937721839362946952e+00
2.910000000000000000e+02,5.695631263232066921e+00
2.920000000000000000e+02,4.829244978207471561e+00
2.930000000000000000e+02,4.476528022183535960e+00
2.940000000000000000e+02,5.861460803418703236e+00
2.950000000000000000e+02,4.556292612587601099e+00
2.960000000000000000e+02,5.006112621779477578e+00
2.970000000000000000e+02,3.184692031927590872e+00
2.980000000000000000e+02,3.186644573268281100e+00
2.990000000000000000e+02,5.902191844830325884e+00
3.000000000000000000e+02,5.364275262721059256e+00
3.010000000000000000e+02,5.313366013531966914e+00
3.020000000000000000e+02,4.206593288143055887e+00
3.030000000000000000e+02,3.125140173147837874e+00
3.040000000000000000e+02,5.759970279406999794e+00
3.050000000000000000e+02,5.176629700938600642e+00
3.060000000000000000e+02,3.961621466298234751e+00
3.070000000000000000e+02,3.948897458846699404e+00
3.080000000000000000e+02,5.297285147696964458e+00
