# Wavelength, Absorbance
2.200000000000000000e+02,4.114736899450273100e+00
2.210000000000000000e+02,4.817130104639046451e+00
2.220000000000000000e+02,5.295371017299306260e+00
2.230000000000000000e+02,5.378729944690059384e+00
2.240000000000000000e+02,4.720418908725959817e+00
2.250000000000000000e+02,3.017858712232170060e+00
2.260000000000000000e+02,2.779941511915609453e+00
2.270000000000000000e+02,5.309730414846407065e+00
2.280000000000000000e+02,3.514161423052113875e+00
2.290000000000000000e+02,5.878106800953226241e+00
2.300000000000000000e+02,5.545622375861650077e+00
2.310000000000000000e+02,4.831040858731810772e+00
2.320000000000000000e+02,5.824980972226731168e+00
2.330000000000000000e+02,6.220110708880326023e+00
2.340000000000000000e+02,5.222758954526620201e+00
2.350000000000000000e+02,4.552444248082545997e+00
2.360000000000000000e+02,4.501219610150202222e+00
2.370000000000000000e+02,4.306003759288890009e+00
2.380000000000000000e+02,3.766871648325174959e+00
2.390000000000000000e+02,2.838482214445617657e+00
2.400000000000000000e+02,3.746464675350296147e+00
2.410000000000000000e+02,4.281132764539545832e+00
2.420000000000000000e+02,2.435078691895220082e+00
2.430000000000000000e+02,2.329212594725337926e+00
2.440000000000000000e+02,3.782861757451325690e+00
2.450000000000000000e+02,2.036479662284627956e+00
2.460000000000000000e+02,2.515172068284730500e+00
2.470000000000000000e+02,2.849986455449833755e+00
2.480000000000000000e+02,3.631270172914162764e+00
2.490000000000000000e+02,2.003947306120457128e+00
2.500000000000000000e+02,2.255282939039080059e+00
2.510000000000000000e+02,2.701028376939123454e+00
2.520000000000000000e+02,3.631893409429694408e+00
2.530000000000000000e+02,2.223884627395951163e+00
2.540000000000000000e+02,1.710654385907552921e+00
2.550000000000000000e+02,3.270242317523847753e+00
2.560000000000000000e+02,3.081437609187001936e+00
2.570000000000000000e+02,3.952264334745488217e+00
2.580000000000000000e+02,4.074071465435192607e+00
2.590000000000000000e+02,3.507552411333302089e+00
2.600000000000000000e+02,2.289308247157454623e+00
2.610000000000000000e+02,4.410210493344376204e+00
2.620000000000000000e+02,4.404168080031886312e+00
2.630000000000000000e+02,1.698265405682244822e+00
2.640000000000000000e+02,1.589200216146029909e+00
2.650000000000000000e+02,4.457307696426390464e+00
2.660000000000000000e+02,4.329259385432047580e+00
2.670000000000000000e+02,2.321226037241419959e+00
2.680000000000000000e+02,1.842890204389371123e+00
2.690000000000000000e+02,4.574297944026283425e+00
2.700000000000000000e+02,2.647954399925103175e+00
2.710000000000000000e+02,2.596491303328216205e+00
2.720000000000000000e+02,3.177483449585674080e+00
2.730000000000000000e+02,4.891338632846559342e+00
2.740000000000000000e+02,2.939104957345429980e+00
2.750000000000000000e+02,4.454873313000176083e+00
2.760000000000000000e+02,2.718057425072477606e+00
2.770000000000000000e+02,3.351563826870407770e+00
2.780000000000000000e+02,4.481014520350480979e+00
2.790000000000000000e+02,3.705437307757689869e+00
2.800000000000000000e+02,5.080309470793624271e+00
2.810000000000000000e+02,4.452383337210083170e+00
2.820000000000000000e+02,5.057147273127349685e+00
2.830000000000000000e+02,5.439633242704013938e+00
2.840000000000000000e+02,5.503028562762205311e+00
2.850000000000000000e+02,3.579819669806473037e+00
2.860000000000000000e+02,5.833807080999408257e+00
2.870000000000000000e+02,4.333701665387103219e+00
2.880000000000000000e+02,5.582666806825095307e+00
2.890000000000000000e+02,5.630434615064700665e+00
2.900000000000000000e+02,4.403944460995249166e+00
2.910000000000000000e+02,3.931978625371803204e+00
2.920000000000000000e+02,3.850905506602611439e+00
2.930000000000000000e+02,4.482822871938038745e+00
2.940000000000000000e+02,3.774263839574291790e+00
2.950000000000000000e+02,5.634099836268022798e+00
2.960000000000000000e+02,4.974294091552081909e+00
2.970000000000000000e+02,5.897342537543366348e+00
2.980000000000000000e+02,4.076185367488720068e+00
2.990000000000000000e+02,3.686542548744097481e+00
3.000000000000000000e+02,3.840368278839132898e+00
3.010000000000000000e+02,3.238378986877706645e+00
3.020000000000000000e+02,4.170475042227144158e+00
3.030000000000000000e+02,3.609343050147974630e+00
3.040000000000000000e+02,5.524406215310900592e+00
3.050000000000000000e+02,3.294987017671080043e+00
3.060000000000000000e+02,5.265064183393151964e+00
3.070000000000000000e+02,5.256500581671305738e+00
3.080000000000000000e+02,2.994426644936712734e+00
3.090000000000000000e+02,3.189832299076979183e+00
3.100000000000000000e+02,4.286558150602983730e+00
3.110000000000000000e+02,3.220788940934357747e+00
3.120000000000000000e+02,4.352100289110758524e+00
3.130000000000000000e+02,3.343252728459400913e+00
3.140000000000000000e+02,5.137777639893990056e+00
3.150000000000000000e+02,2.992600494799678046e+00
3.160000000000000000e+02,4.832969203042887685e+00
3.170000000000000000e+02,4.930651296668502326e+00
3.180000000000000000e+02,4.040709482111817685e+00
3.190000000000000000e+02,5.208704073670688217e+00
3.200000000000000000e+02,3.424729177730163610e+00
3.210000000000000000e+02,4.608490869992291294e+00
3.220000000000000000e+02,4.492061650041172527e+00
3.230000000000000000e+02,4.964360517352272240e+00
3.240000000000000000e+02,4.241954368150111065e+00
3.250000000000000000e+02,4.900948562701373135e+00
