# Time,data
0.000000000000000000e+00,2.828531345244695849e-01
1.000000000000000048e-04,5.190625374498349931e-01
2.000000000000000096e-04,8.190002022919627978e-01
2.999999999999999737e-04,2.585336137826323988e-01
4.000000000000000192e-04,6.013622152829922740e-01
5.000000000000000104e-04,2.718694238868111790e-01
5.999999999999999474e-04,6.475908729621837612e-01
6.999999999999999929e-04,4.568626156347751488e-01
8.000000000000000383e-04,7.327317278482174956e-01
8.999999999999999754e-04,9.161698724967243246e-01
1.000000000000000021e-03,5.543612636515735659e-01
1.100000000000000066e-03,8.187886510823310093e-01
1.199999999999999895e-03,5.874949323740417118e-01
1.299999999999999940e-03,4.984468429806800938e-01
1.399999999999999986e-03,3.081938000539726774e-01
1.500000000000000031e-03,9.710675691557378864e-01
1.600000000000000077e-03,5.219463233221175447e-01
1.699999999999999905e-03,9.054541801332018913e-01
1.799999999999999951e-03,8.954665258263168059e-01
1.899999999999999996e-03,1.033573028550150319e+00
2.000000000000000042e-03,1.038022766668953434e+00
2.099999999999999870e-03,5.965082499886529277e-01
2.200000000000000133e-03,9.310729654612096562e-01
2.299999999999999961e-03,7.093548845576741479e-01
2.399999999999999790e-03,2.695557189139862198e-01
2.500000000000000052e-03,1.829126129259952549e-01
2.599999999999999881e-03,6.219994107170865316e-01
2.700000000000000143e-03,7.553467073172689394e-01
2.799999999999999972e-03,1.061619233855071398e+00
2.899999999999999800e-03,3.400994891951043542e-01
3.000000000000000062e-03,1.097569268153268940e+00
3.099999999999999891e-03,7.140640035314635981e-01
3.200000000000000153e-03,7.425395257946850736e-01
3.299999999999999982e-03,1.088107274334924490e+00
3.399999999999999811e-03,1.025313563363003055e+00
3.500000000000000073e-03,1.167726794617273356e+00
3.599999999999999901e-03,4.843164932541155210e-01
3.700000000000000164e-03,1.024318255783060350e+00
3.799999999999999992e-03,6.967458988166235212e-01
3.899999999999999821e-03,6.114933035830416586e-01
4.000000000000000083e-03,9.351205884824888015e-01
4.100000000000000346e-03,7.492820403867462842e-01
4.199999999999999740e-03,1.154325824320941773e+00
4.300000000000000003e-03,5.882597216115923455e-01
4.400000000000000265e-03,8.472630034824170098e-01
4.499999999999999660e-03,8.830912433021592678e-01
4.599999999999999922e-03,1.151660114940818547e+00
4.700000000000000185e-03,7.570384782983112792e-01
4.799999999999999580e-03,8.691419030251437139e-01
4.899999999999999842e-03,1.168217246894080130e+00
5.000000000000000104e-03,8.443821849199395491e-01
5.100000000000000366e-03,8.854126949752045839e-01
5.199999999999999761e-03,4.642004577072956217e-01
5.300000000000000024e-03,1.069526401659213644e+00
5.400000000000000286e-03,6.119273551089670082e-01
5.499999999999999681e-03,1.147001799546128131e+00
5.599999999999999943e-03,5.153156340517222045e-01
5.700000000000000205e-03,3.866242089971183016e-01
5.799999999999999600e-03,1.190451874580805924e+00
5.899999999999999863e-03,5.483987219059772711e-01
6.000000000000000125e-03,8.768345977299474292e-01
6.100000000000000387e-03,5.404792754336006366e-01
6.199999999999999782e-03,8.104889369860170945e-01
6.300000000000000044e-03,1.038770059301086679e+00
6.400000000000000307e-03,5.989379768498775958e-01
6.499999999999999702e-03,1.020397145452519583e+00
6.599999999999999964e-03,1.378922507678443932e+00
6.700000000000000226e-03,4.424258646812616047e-01
6.799999999999999621e-03,4.974986103475007027e-01
6.899999999999999883e-03,1.194250456326692023e+00
7.000000000000000146e-03,5.277550892078126665e-01
7.100000000000000408e-03,4.615900302023444590e-01
7.199999999999999803e-03,1.169687526961509905e+00
7.300000000000000065e-03,1.441678966067695633e+00
7.400000000000000328e-03,1.317276848294805403e+00
7.499999999999999722e-03,1.376830072471107336e+00
7.599999999999999985e-03,1.355219226149425360e+00
7.700000000000000247e-03,1.150665255802092002e+00
7.799999999999999642e-03,1.324696924047090718e+00
7.900000000000000772e-03,1.453540421508201952e+00
8.000000000000000167e-03,5.998856667975372980e-01
8.099999999999999561e-03,5.342348341896112629e-01
8.200000000000000691e-03,1.326465623170641317e+00
8.300000000000000086e-03,1.459337272846980227e+00
8.399999999999999481e-03,8.721262157536052717e-01
8.500000000000000611e-03,8.716239598630832752e-01
8.600000000000000006e-03,1.174641665615405728e+00
8.699999999999999400e-03,1.055903287672274260e+00
8.800000000000000530e-03,1.239333909611489037e+00
8.899999999999999925e-03,5.668626552758346815e-01
8.999999999999999320e-03,1.502069357293008611e+00
9.100000000000000450e-03,1.498019248047105734e+00
9.199999999999999845e-03,1.402029604391376694e+00
9.299999999999999239e-03,1.028083477706108972e+00
9.400000000000000369e-03,7.958929700707138011e-01
9.499999999999999764e-03,1.468260606983207373e+00
9.599999999999999159e-03,1.071041932182252410e+00
9.700000000000000289e-03,8.573147520510469022e-01
9.799999999999999684e-03,6.257275844987095770e-01
9.900000000000000813e-03,1.142211005200456153e+00
1.000000000000000021e-02,9.299623599064995583e-01
1.009999999999999960e-02,1.595727849045775582e+00
1.020000000000000073e-02,1.312690993182676902e+00
1.030000000000000013e-02,1.496616328540902208e+00
1.039999999999999952e-02,9.993804442929108411e-01
1.050000000000000065e-02,9.721143458432704998e-01
1.060000000000000005e-02,7.474481974628592873e-01
1.069999999999999944e-02,1.261526634934899471e+00
1.080000000000000057e-02,1.605254181001723124e+00
1.089999999999999997e-02,1.415660319154446345e+00
1.099999999999999936e-02,1.207941907758704581e+00
1.110000000000000049e-02,1.548206331361142052e+00
1.119999999999999989e-02,1.046375714284718761e+00
1.129999999999999928e-02,1.666263389906657455e+00
1.140000000000000041e-02,1.610445581528150427e+00
1.149999999999999981e-02,1.420619228357745012e+00
1.159999999999999920e-02,1.473108222120130595e+00
1.170000000000000033e-02,1.565535738016366807e+00
1.179999999999999973e-02,9.037162059774329625e-01
1.190000000000000085e-02,1.118236210144647247e+00
1.200000000000000025e-02,1.084939278783894068e+00
1.209999999999999964e-02,1.235492761054377553e+00
1.220000000000000077e-02,1.189020066938323517e+00
1.230000000000000017e-02,1.714119346734240601e+00
1.239999999999999956e-02,9.106872949117010840e-01
1.250000000000000069e-02,1.643223205676022758e+00
1.260000000000000009e-02,7.490643175420266253e-01
1.269999999999999948e-02,1.492782449793677468e+00
1.280000000000000061e-02,7.891974188029606818e-01
1.290000000000000001e-02,1.144370786235774373e+00
1.299999999999999940e-02,9.294342137086180067e-01
1.310000000000000053e-02,1.657210489980452728e+00
1.319999999999999993e-02,1.061250365075036228e+00
1.329999999999999932e-02,1.406828350471057032e+00
1.340000000000000045e-02,8.158228938535518893e-01
1.349999999999999985e-02,1.663130324726831422e+00
1.359999999999999924e-02,1.617839551505640294e+00
1.370000000000000037e-02,1.482046403193439277e+00
1.379999999999999977e-02,1.540168716205742472e+00
1.389999999999999916e-02,1.684438231641021577e+00
1.400000000000000029e-02,8.701881511577810313e-01
1.409999999999999969e-02,1.732058734120741406e+00
1.420000000000000082e-02,1.759736921099837481e+00
1.430000000000000021e-02,1.391736822338528468e+00
1.439999999999999961e-02,9.944138763128751446e-01
1.450000000000000074e-02,1.544344585502744449e+00
1.460000000000000013e-02,1.396569789799495309e+00
1.469999999999999953e-02,1.269973342153932983e+00
1.480000000000000066e-02,1.002730337353304524e+00
1.490000000000000005e-02,1.450798146415589907e+00
1.499999999999999944e-02,1.416814772956939583e+00
1.510000000000000057e-02,1.102033317956417235e+00
1.519999999999999997e-02,1.771261662800831083e+00
1.529999999999999936e-02,1.759078526779782603e+00
1.540000000000000049e-02,1.022301049360113900e+00
1.549999999999999989e-02,9.973138056514800898e-01
1.559999999999999928e-02,1.364981627445332357e+00
1.569999999999999868e-02,1.106636247141834284e+00
1.580000000000000154e-02,1.556352038613679323e+00
1.590000000000000094e-02,1.871151487479024267e+00
1.600000000000000033e-02,1.494414377048099540e+00
1.609999999999999973e-02,1.595249487336209526e+00
1.619999999999999912e-02,1.836895562555557637e+00
1.629999999999999852e-02,1.266276078773206359e+00
1.640000000000000138e-02,1.416986309773361929e+00
1.650000000000000078e-02,1.693706601082989760e+00
1.660000000000000017e-02,1.299274532824037820e+00
1.669999999999999957e-02,1.007657976465004879e+00
1.679999999999999896e-02,1.756196674647941158e+00
1.689999999999999836e-02,1.288287757609052342e+00
1.700000000000000122e-02,1.456209230248021402e+00
1.710000000000000062e-02,9.962270415090758169e-01
1.720000000000000001e-02,1.802569542090463051e+00
1.729999999999999941e-02,1.371601880957800557e+00
1.739999999999999880e-02,1.095700466535612705e+00
1.750000000000000167e-02,1.686317841017731300e+00
1.760000000000000106e-02,1.611052989137061076e+00
1.770000000000000046e-02,1.424217464384618381e+00
1.779999999999999985e-02,1.625798208208319995e+00
1.789999999999999925e-02,1.517484388521800120e+00
1.799999999999999864e-02,1.786791450369716650e+00
1.810000000000000150e-02,1.213190129560348218e+00
1.820000000000000090e-02,1.316051137003088511e+00
1.830000000000000029e-02,1.284689973793541107e+00
1.839999999999999969e-02,1.200844804685867739e+00
1.849999999999999908e-02,1.569774412710291278e+00
1.859999999999999848e-02,1.344130923921405207e+00
1.870000000000000134e-02,1.935241809556906389e+00
1.880000000000000074e-02,1.386188389834496215e+00
1.890000000000000013e-02,1.802510778429102789e+00
1.899999999999999953e-02,1.504339956755402330e+00
1.909999999999999892e-02,1.776457355966488905e+00
1.919999999999999832e-02,1.625418525894212873e+00
1.930000000000000118e-02,1.670899574797169329e+00
1.940000000000000058e-02,1.837428488596610343e+00
1.949999999999999997e-02,1.273259500024435997e+00
1.959999999999999937e-02,1.788403979478345285e+00
1.969999999999999876e-02,1.162117595706927187e+00
1.980000000000000163e-02,1.548654146110558072e+00
1.990000000000000102e-02,1.172601438960105602e+00
2.000000000000000042e-02,1.567951765641411477e+00
2.009999999999999981e-02,1.102401856354489729e+00
2.019999999999999921e-02,1.011000445052653518e+00
2.029999999999999860e-02,1.266422550071019337e+00
2.040000000000000147e-02,1.473296781482564821e+00
2.050000000000000086e-02,1.452615364314358670e+00
2.060000000000000026e-02,1.108772790838699729e+00
2.069999999999999965e-02,1.440780154701114535e+00
2.079999999999999905e-02,1.069585178421624372e+00
2.089999999999999844e-02,1.151714811153115248e+00
2.100000000000000130e-02,1.517805213196550040e+00
2.110000000000000070e-02,1.495914480545956771e+00
2.120000000000000009e-02,1.649363062255746470e+00
2.129999999999999949e-02,1.437648491243120219e+00
2.139999999999999888e-02,1.557754218461542273e+00
2.149999999999999828e-02,1.176916342857138087e+00
2.160000000000000114e-02,1.846117112999014598e+00
2.170000000000000054e-02,1.516633439979691023e+00
2.179999999999999993e-02,1.764479842265257004e+00
2.189999999999999933e-02,1.621407163383349559e+00
2.199999999999999872e-02,2.001862676650671524e+00
2.210000000000000159e-02,1.195665374452763885e+00
2.220000000000000098e-02,1.278328970085512051e+00
2.230000000000000038e-02,1.689716737197040963e+00
2.239999999999999977e-02,1.221899296670087898e+00
2.249999999999999917e-02,1.209214963466731296e+00
2.259999999999999856e-02,1.487435498594582572e+00
2.270000000000000143e-02,1.879436026102280888e+00
2.280000000000000082e-02,1.754783027507688775e+00
2.290000000000000022e-02,1.913951686545629194e+00
2.299999999999999961e-02,1.230394013328079517e+00
2.309999999999999901e-02,1.448168779574560583e+00
2.319999999999999840e-02,1.449927685213487472e+00
2.330000000000000127e-02,1.592957664944991691e+00
2.340000000000000066e-02,1.958916422961958226e+00
2.350000000000000006e-02,1.783725744191765106e+00
2.359999999999999945e-02,1.470211060924119906e+00
2.369999999999999885e-02,1.964342929828781115e+00
2.380000000000000171e-02,2.027796548987166325e+00
2.390000000000000110e-02,1.706849018139607210e+00
2.400000000000000050e-02,1.507816799084848558e+00
2.409999999999999989e-02,1.266655051618591044e+00
2.419999999999999929e-02,1.577541138249863417e+00
2.429999999999999868e-02,1.637870792031930645e+00
2.440000000000000155e-02,1.865246950779626323e+00
2.450000000000000094e-02,1.760273829457720485e+00
2.460000000000000034e-02,1.567530423553214813e+00
2.469999999999999973e-02,1.177944326882990556e+00
2.479999999999999913e-02,1.800317714333328212e+00
2.489999999999999852e-02,1.320926848393378261e+00
2.500000000000000139e-02,1.723540074785721021e+00
2.510000000000000078e-02,1.780978908525341353e+00
2.520000000000000018e-02,2.052808850658963458e+00
2.529999999999999957e-02,1.746267007041015340e+00
2.539999999999999897e-02,1.641978218967285130e+00
2.549999999999999836e-02,1.404914652538514996e+00
2.560000000000000123e-02,1.344978115646394246e+00
2.570000000000000062e-02,1.796306346049230562e+00
2.580000000000000002e-02,1.187334144601592589e+00
2.589999999999999941e-02,1.105136978816006144e+00
2.599999999999999881e-02,1.844027235148089972e+00
2.610000000000000167e-02,1.410645535504870596e+00
2.620000000000000107e-02,1.499736839186853743e+00
2.630000000000000046e-02,1.521597157130308409e+00
2.639999999999999986e-02,1.197135158736759131e+00
2.649999999999999925e-02,1.389096128018332488e+00
2.659999999999999865e-02,1.962300172262070319e+00
2.670000000000000151e-02,1.366083823053611424e+00
2.680000000000000090e-02,1.990010751164895897e+00
2.690000000000000030e-02,1.500492767218117418e+00
2.699999999999999969e-02,1.669177468838864087e+00
2.709999999999999909e-02,1.361893552490372805e+00
2.719999999999999848e-02,1.825230354245768405e+00
2.730000000000000135e-02,1.515592512274643644e+00
2.740000000000000074e-02,1.500327114333377398e+00
2.750000000000000014e-02,1.709986960801157974e+00
2.759999999999999953e-02,1.678281258678561372e+00
2.769999999999999893e-02,1.168650613818528861e+00
2.779999999999999832e-02,1.627556499214932728e+00
2.790000000000000119e-02,1.257704855056523741e+00
2.800000000000000058e-02,1.425566375987032064e+00
2.809999999999999998e-02,1.086472831459311728e+00
2.819999999999999937e-02,1.627947138408649241e+00
2.829999999999999877e-02,1.077514608821416697e+00
2.840000000000000163e-02,2.013095555632806288e+00
