# wavelength,Abs
2.200000000000000000e+02,2.817965062975671842e+00
2.210000000000000000e+02,2.323061402707915057e+00
2.220000000000000000e+02,2.056492966515949483e+00
2.230000000000000000e+02,1.971945353210560636e+00
2.240000000000000000e+02,3.300841640151641609e-01
2.250000000000000000e+02,2.362438408661684530e-01
2.260000000000000000e+02,2.180646215040817015e+00
2.270000000000000000e+02,2.027688154610193916e+00
2.280000000000000000e+02,4.376184743110123065e-01
2.290000000000000000e+02,2.730223659211638232e+00
2.300000000000000000e+02,2.074125436042275616e+00
2.310000000000000000e+02,2.950302229626799111e+00
2.320000000000000000e+02,2.787395220661194273e+00
2.330000000000000000e+02,1.383572284352949433e+00
2.340000000000000000e+02,1.078419144038567090e+00
2.350000000000000000e+02,2.548680841025834365e+00
2.360000000000000000e+02,2.241044690112426796e+00
2.370000000000000000e+02,2.312480303623027922e+00
2.380000000000000000e+02,8.367301866841643232e-01
2.390000000000000000e+02,3.213721647406488025e+00
2.400000000000000000e+02,1.048035866211455058e+00
2.410000000000000000e+02,2.604823623511694386e+00
2.420000000000000000e+02,1.573244286652568880e+00
2.430000000000000000e+02,1.545734628078287320e+00
2.440000000000000000e+02,8.607140107282648112e-01
2.450000000000000000e+02,2.475857574265309946e-01
2.460000000000000000e+02,1.997249082921271235e+00
2.470000000000000000e+02,1.031488805471882486e+00
2.480000000000000000e+02,7.120821127599773481e-01
2.490000000000000000e+02,1.310758455586773952e+00
2.500000000000000000e+02,2.255548762438093657e+00
2.510000000000000000e+02,9.610706629623269048e-01
2.520000000000000000e+02,-5.002371658566632240e-01
2.530000000000000000e+02,1.438779121767002955e+00
2.540000000000000000e+02,1.724769506038754452e+00
2.550000000000000000e+02,-6.121764695774647436e-01
2.560000000000000000e+02,-1.477267884111756358e+00
2.570000000000000000e+02,4.448573090160441446e-01
2.580000000000000000e+02,1.424302614434984404e+00
2.590000000000000000e+02,-1.375541448581241721e-01
2.600000000000000000e+02,9.899315334645687470e-01
2.610000000000000000e+02,7.517122396122382089e-01
2.620000000000000000e+02,-1.059491095068186839e-01
2.630000000000000000e+02,1.001321675576687165e+00
2.640000000000000000e+02,1.223496263747306578e+00
2.650000000000000000e+02,-6.731528094607682755e-01
2.660000000000000000e+02,-1.923259260537099280e+00
2.670000000000000000e+02,6.824113526245829675e-01
2.680000000000000000e+02,-1.496932484003377084e-02
2.690000000000000000e+02,6.192117157452908804e-01
2.700000000000000000e+02,1.455676585484928509e+00
2.710000000000000000e+02,1.533918108422578364e+00
2.720000000000000000e+02,3.406335644346607516e-01
2.730000000000000000e+02,7.926842809243258570e-01
2.740000000000000000e+02,5.951409100332951674e-01
2.750000000000000000e+02,6.867440724806987973e-01
2.760000000000000000e+02,6.134646892605915003e-01
2.770000000000000000e+02,1.964659208457790296e+00
2.780000000000000000e+02,5.619369621607557264e-01
2.790000000000000000e+02,1.880059816471473022e+00
2.800000000000000000e+02,-1.655694315517197701e-02
2.810000000000000000e+02,1.762365322800673595e-01
2.820000000000000000e+02,1.781495955133274744e+00
2.830000000000000000e+02,-5.447049583030086906e-01
2.840000000000000000e+02,1.599417014202515475e+00
2.850000000000000000e+02,-1.274556646692606154e-01
2.860000000000000000e+02,-5.263298522751144182e-01
2.870000000000000000e+02,1.570407851397695342e+00
2.880000000000000000e+02,2.336312263349609175e+00
2.890000000000000000e+02,2.073198592504057913e+00
2.900000000000000000e+02,1.148618059659326507e-01
2.910000000000000000e+02,-4.356093857604855790e-01
2.920000000000000000e+02,1.687030842881405590e+00
2.930000000000000000e+02,1.853416171081221364e+00
2.940000000000000000e+02,-1.463557762860923095e-01
2.950000000000000000e+02,-1.795894510261180077e+00
2.960000000000000000e+02,1.265486594160572409e+00
2.970000000000000000e+02,1.126320633971509499e+00
2.980000000000000000e+02,5.134243216545966160e-01
2.990000000000000000e+02,-3.168083657830167432e-01
3.000000000000000000e+02,1.451604101012955006e+00
3.010000000000000000e+02,8.197716070051762616e-01
3.020000000000000000e+02,5.747258467640151691e-01
3.030000000000000000e+02,1.009563961436848789e+00
3.040000000000000000e+02,1.836782194876814156e+00
3.050000000000000000e+02,1.682235212243317513e+00
3.060000000000000000e+02,1.047187339008079698e+00
3.070000000000000000e+02,6.201925252961902890e-01
3.080000000000000000e+02,2.786988030242518732e-01
3.090000000000000000e+02,1.355274483403629882e+00
3.100000000000000000e+02,7.431971106781155578e-01
3.110000000000000000e+02,3.159773086251622121e-01
3.120000000000000000e+02,1.641902333434949179e-01
3.130000000000000000e+02,4.181783464076769263e-01
3.140000000000000000e+02,4.059582438783444491e-01
3.150000000000000000e+02,1.584732162276060174e-01
3.160000000000000000e+02,1.766379362098182026e+00
3.170000000000000000e+02,1.320534607237692448e+00
3.180000000000000000e+02,1.687634256790059517e+00
3.190000000000000000e+02,1.183364087153040645e+00
3.200000000000000000e+02,8.563044256298479873e-01
3.210000000000000000e+02,1.459484999134212480e+00
3.220000000000000000e+02,2.058426332172437423e+00
3.230000000000000000e+02,2.016198428436956291e+00
3.240000000000000000e+02,-7.358105140397965815e-01
3.250000000000000000e+02,-3.379457926190181927e-01
3.260000000000000000e+02,-5.461797050645371687e-01
3.270000000000000000e+02,-2.845524229517701342e-01
3.280000000000000000e+02,4.016462405177032013e-01
3.290000000000000000e+02,8.127379125649849545e-01
3.300000000000000000e+02,-1.402440912341365920e+00
3.310000000000000000e+02,1.684385806642247907e+00
3.320000000000000000e+02,8.227677636033756681e-01
3.330000000000000000e+02,-4.349689662334815798e-01
3.340000000000000000e+02,-6.631659823970303957e-01
3.350000000000000000e+02,1.236008885307693816e+00
3.360000000000000000e+02,3.632782117572314062e-02
3.370000000000000000e+02,-1.429620792307684241e+00
3.380000000000000000e+02,1.782167491562556716e+00
3.390000000000000000e+02,-9.722604339728582734e-02
3.400000000000000000e+02,-5.547999254100267896e-02
3.410000000000000000e+02,6.037886304214979960e-01
3.420000000000000000e+02,3.276478751332091433e-01
